seed,config,nlive,walks,maxcall,elapsed_s,n_likelihood_calls,budget_capped,n_posterior,ln_Z,ln_Z_err,in90_M,width90_M,true_M,in90_eps_f,width90_eps_f,true_eps_f,in90_a_star,width90_a_star,true_a_star,in90_log10_dt_bounce_s,width90_log10_dt_bounce_s,true_log10_dt_bounce_s,corr_M_epsf,nact
20260925,base,250,32.0,700000,2.060760974884033,269892.0,False,897,-6811.910062008834,0.31479702963347955,0,42.2068056173077,37.703281439459374,1,0.48067329492078015,-0.19566554863603774,1,0.7498389984018874,0.19498341375571726,1,0.0035216416574097575,-1.5598431087489353,0.6126007814757272,
20260928,base,250,32.0,700000,609.57790350914,1069826.0,True,828,-6570.821267290883,0.26127667586475406,0,110.57251901086698,98.24312495375221,0,0.44028988003196223,-0.2728556784475776,0,0.7045842863123652,0.05424666609823471,1,2.931218894452683,-1.5583834020319822,0.658371649344299,
20260941,base,250,32.0,700000,903.5334272384644,462727.0,False,943,-6668.447129105937,0.3750452773858772,0,74.25811381249383,127.46735797281563,0,0.375935565743034,-0.2893677819187365,0,0.511422211041861,0.0073651315208279906,1,0.002650587000985194,-2.5163742323945826,0.8092599050955998,
20260925,nact8,250,,700000,2156.830804824829,894992.0,True,1024,-6811.6198653951415,0.3097423133709844,0,43.63659435087741,37.703281439459374,1,0.5104706564883574,-0.19566554863603774,1,0.7819849243626554,0.19498341375571726,1,0.0035654675823162396,-1.5598431087489353,0.6382068188471022,8.0
20260928,nact8,250,,700000,14929.016236066818,8008636.0,True,897,-6571.113327791691,0.2761958973925155,0,121.98848628150907,98.24312495375221,0,0.46421606308400565,-0.2728556784475776,0,0.7586651663596375,0.05424666609823471,1,3.0191836657893267,-1.5583834020319822,0.6629640653497313,8.0
20260941,nact8,250,,700000,3725.1490211486816,1972878.0,True,955,-6669.091680482625,0.3816019263178837,0,76.63928415599156,127.46735797281563,0,0.3966443932676456,-0.2893677819187365,0,0.6019482895755974,0.0073651315208279906,1,0.0027335644838086814,-2.5163742323945826,0.7442093500564986,8.0
20260997,base,250,32.0,700000,253.3475947380066,107961.0,False,931,-6651.260355201167,0.2969538480804687,0,27.95237609484259,26.439864619941194,1,0.5179164232449145,-0.2280323441445179,1,0.7384838554209203,0.29695158660252374,1,0.003434317654065211,-2.022100999723728,0.6737102212593784,
20260996,base,250,32.0,700000,2115.641627073288,2167483.0,True,986,-6638.147957282076,0.4399649265695096,0,47.36913903853579,159.8952367399547,0,0.2677754060314409,-0.165596978135289,0,0.029076090178548397,0.9822184588049228,1,0.000903804615682624,-2.6778462487564623,0.9644720041857652,
20260991,base,250,32.0,700000,166.8575954437256,73316.0,False,851,-6722.533972561034,0.267972892684568,0,32.94629579586425,71.5239858014004,0,0.5188107207714965,0.2779244547701099,1,0.7119659065073083,0.4903190571300942,1,0.037703622123631764,-2.631633162092835,0.7287719963130752,
20260973,base,250,32.0,700000,536.6973288059235,269180.0,False,889,-6729.038185680598,0.35761792981502616,0,105.09360170226267,196.68298540971196,0,0.4831362168686559,-0.23753385258335954,1,0.6987479985389664,0.2921590761413136,1,0.004319182568675917,-1.6911026759509489,0.5909345822992573,
20260956,base,250,32.0,700000,2084.7144870758057,2104607.0,True,1009,-6617.127130952609,0.43019239955906036,0,46.757124553309524,223.06314189674066,0,0.285878733390427,0.29756890262244823,0,0.4438861005883415,0.6847448670225779,1,0.0003263826159702887,-2.6023477664745585,0.6609777968878447,
20260944,base,250,32.0,700000,1435.5503118038177,1496325.0,True,839,-6714.055931110372,0.4497804332255057,0,16.811962029734225,45.661112070038534,0,0.44420911582874967,0.27159831592810096,1,0.5944730230418261,0.41919040397062357,1,7.420313079542495e-07,-0.5419138956709943,0.78349368140799,
20260999,base,250,32.0,700000,553.7274792194366,261288.0,False,843,-6726.856665897201,0.16776341468018624,0,32.73977816284302,78.17619716238416,0,0.534560378933677,0.29599802846644924,1,0.7201305572284696,0.6737444453648423,1,3.048953784620368,-1.6238031254855048,0.6908406851017619,
20260948,base,250,32.0,700000,985.3977656364441,509727.0,False,947,-6749.3342275653295,0.32549702095763544,1,67.18598760953284,76.54709052496088,0,0.49022934500072607,-0.27621723206758014,1,0.532305187356307,0.759024707225102,1,0.0030718317113571647,-1.258785723542307,0.6664628270465313,
20260946,base,250,32.0,700000,2595.3790221214294,1275064.0,True,987,-6664.4722739853005,0.444952207396585,0,100.54952546726778,142.30392712175905,0,0.4441347746869392,-0.22145930689867843,1,0.41564268476278915,0.3946949046423867,1,8.27296473732142e-06,-0.28639140682641573,0.8401544495377742,
20260997,nact8,250,,700000,767.1879162788391,332536.0,False,974,-6651.44034433877,0.29867815279605114,0,28.967581472757765,26.439864619941194,1,0.5190733875516457,-0.2280323441445179,1,0.7659938298966464,0.29695158660252374,1,0.0034814733881116666,-2.022100999723728,0.6476334391630509,8.0
20260948,nact8,250,,700000,3617.7085404396057,1905340.0,True,953,-6749.21145439112,0.32526651127050626,1,69.83367547416002,76.54709052496088,0,0.5102103123769034,-0.27621723206758014,1,0.547488081007218,0.759024707225102,1,0.003214555331914948,-1.258785723542307,0.7110546528644432,8.0
20260946,nact8,250,,700000,12295.804913520813,6507905.0,True,1115,-6663.499991673229,0.43593525939852634,0,118.51089312740027,142.30392712175905,1,0.5110842980120531,-0.22145930689867843,1,0.5085165146295245,0.3946949046423867,1,8.758723100410482e-06,-0.28639140682641573,0.8054405543094367,8.0
20260999,nact8,250,,700000,3133.083969593048,1549693.0,True,799,-6726.944970496061,0.16411503814645692,0,30.615353510228694,78.17619716238416,0,0.5308664081165959,0.29599802846644924,1,0.7335792135513124,0.6737444453648423,1,3.032715254754621,-1.6238031254855048,0.6933168696072445,8.0
20260991,nact8,250,,700000,686.4086270332336,230012.0,False,792,-6722.846464408261,0.2733892696620852,0,33.010540044386794,71.5239858014004,0,0.5107052074795629,0.2779244547701099,1,0.7273628862608952,0.4903190571300942,1,0.03408900297162143,-2.631633162092835,0.7303485954761352,8.0
20260996,nact8,250,,700000,23026.003332853317,12241587.0,True,943,-6639.684993285363,0.45126508992441733,1,54.44537281668414,159.8952367399547,0,0.3140814274596553,-0.165596978135289,0,0.038154249293305575,0.9822184588049228,1,0.0008963435840940726,-2.6778462487564623,0.9448992991289513,8.0
