shard,i,relwidth_M,relwidth_a_star,relwidth_eps_f,relwidth_eps_Q,relwidth_log10_A_bounce,relwidth_log10_dt_bounce_s,relwidth_D_L,relwidth_i
0,0,0.021668674262291195,0.2172351694967394,0.24874072829180677,0.23785104886111755,0.00046159278071206903,1.3603340749783518e-05,0.14325951536385306,0.21114364231441374
0,1,0.12892965002468054,0.22856277656413065,0.2613109043319658,0.20159746277271884,0.0008805503561191331,0.0003731296934463221,0.10633779834521528,0.1440474723330118
0,2,2.474810326534533e-05,6.389748792658967e-12,2.667970537361819e-05,2.4316625695177445e-09,3.2194701691383657e-06,6.9631237438985426e-12,0.0005551221353175779,0.005762802676285795
0,3,0.013576060009378941,0.31978074760450687,0.3042091004351723,0.2815035238559947,0.12919785469103784,0.28426037820857736,0.11435641786119641,0.14578963582724327
0,4,4.080799527125339e-05,7.7088362528715e-12,4.399232135068931e-05,2.8554693758490393e-09,3.7682726432237035e-06,8.455204884869996e-12,0.00039480220044505344,0.004703369395078861
0,5,7.336564996169669e-10,3.3295255659902968e-12,8.202204433659981e-10,1.059290365002975e-09,2.231432856122308e-06,4.1196029022935145e-12,0.0003161272875136983,0.003931206989485144
0,6,0.019786950458168112,0.21365653672318283,0.2550134688591776,0.2300849302827815,0.004924035316330647,7.563014116160831e-05,0.16544835035478542,0.22544165054255705
0,7,2.673019842066002e-09,1.0991100891040784e-11,2.250257397768574e-09,3.499486609146443e-09,3.848335363613016e-06,1.5370980937684328e-11,0.00035313488751128805,0.004062775756184536
0,8,0.09852228358913004,0.1296828884847057,0.22263972191817374,0.19319419802928461,0.00048142132241942384,2.3923011110341537e-05,0.15206840667990948,0.2826867268353253
0,9,0.02738607023946535,0.22271699704989767,0.26719548439210045,0.2581945622116174,0.0055393518360157415,0.0005936565555029544,0.13311615320019224,0.18045586604643218
0,10,0.00012089110709657167,6.481356503548736e-12,0.00013045963238132025,2.1871393901994224e-09,3.2304178063796626e-06,6.2699645719316384e-12,0.0003923884914117795,0.004370300290774336
0,11,0.08072964264856342,0.133353219301232,0.17488603332649824,0.06519427994785401,5.6336430500253405e-06,7.111380756345134e-08,0.09052133505356467,0.25531663446871916
0,12,9.222457755871263e-10,1.1286124349714517e-11,1.0719838491297376e-09,2.7833011612385788e-09,3.4884626136987102e-06,1.818412967758254e-11,0.0003204676557139214,0.0038062414871557508
0,13,0.010757179436197207,0.18620997287740704,0.20047807136371526,0.2608443897728041,4.0708717349902716e-05,2.760409882453101e-06,0.0937800790127723,0.11431885676209155
0,14,0.00010454126106489944,5.281569991168148e-11,0.00011275494892399835,2.194258728387258e-08,9.416611351795062e-06,5.322217471921141e-11,0.0004055054909435528,0.004530130126666743
0,15,6.780584714594022e-10,8.602652708579543e-12,7.867675065576534e-10,2.18573457097726e-09,3.359085561901194e-06,1.5086182390774506e-11,0.0009614004083317603,0.006432388580271822
0,16,3.0530556466635017e-09,4.631732392390332e-12,3.0163868260299664e-09,1.754394538524099e-09,2.563035055921554e-06,5.0171855747272015e-12,0.0004167088323764102,0.004473728920022622
0,17,0.024260653357318272,0.2601866873197559,0.2644064266792477,0.27724172905593714,0.12222791345698654,0.289072429487673,0.15970048390173283,0.22702444680689077
0,18,0.039729131793831404,0.22046616379812495,0.2556710186520375,0.2170705945401071,0.009778145937227284,0.00036985326601328205,0.16925478617522566,0.2804335241890947
0,19,0.07857586144135363,0.17274262758472753,0.2174283103611979,0.1325036436406897,2.0346098044823824e-05,3.098258583849551e-07,0.11774048440599942,0.16806618153340072
