parameter,coverage_90pct,coverage_ok,sbc_n,sbc_rank_mean,sbc_rank_std
M,0.795,False,200,296.715,267.9367533112992
a_star,0.855,True,200,318.12,233.3854228524138
log10_A,0.115,False,200,398.6,348.1541899790953
D_L,0.905,True,200,358.645,220.3560504615201
i,0.26,False,200,667.22,201.41390617333252
