parameter,n,rank_mean,rank_sd,frac_rank_0,frac_rank_L,kstest_p,calibrated,chi2_p,cov_50,dev_50_sigma,cov_68,dev_68_sigma,cov_90,dev_90_sigma,hist20
M,97,22.81443298969072,32.13718312980932,0.4948453608247423,0.0103092783505154,2.211910107720493e-25,False,4.4734594731115943e-97,0.2164948453608247,-6.779569503784263,0.268041237113402,-9.160000520421812,0.422680412371134,-9.516580295602411,"53,7,2,1,0,4,3,4,2,0,1,0,3,3,3,2,3,1,1,4"
a_star,97,26.443298969072163,34.35324131728237,0.4639175257731959,0.0618556701030927,3.2878850176512497e-19,False,3.623753593543312e-69,0.2164948453608247,-6.779569503784263,0.3092783505154639,-7.89964402497942,0.4536082474226804,-8.830991981793682,"46,5,7,3,1,1,2,3,3,0,2,4,2,2,2,3,2,1,1,7"
eps_f,97,65.14432989690722,39.466491507227175,0.0309278350515463,0.4639175257731959,3.2878850176512497e-19,False,2.1457869370692226e-74,0.2061855670103092,-7.152705872514352,0.268041237113402,-9.160000520421812,0.422680412371134,-9.516580295602411,"10,4,5,4,0,5,3,1,3,2,3,2,1,1,0,1,1,1,3,47"
eps_Q,97,30.2680412371134,36.8718262656591,0.5051546391752577,0.0412371134020618,4.776904044735248e-23,False,1.3350885092832322e-88,0.2061855670103092,-7.152705872514352,0.3298969072164948,-7.333678738951813,0.3917525773195876,-10.254511637352929,"51,0,0,1,4,4,2,1,1,2,2,5,1,2,3,1,3,4,3,7"
log10_A_bounce,97,25.34020618556701,33.77834815564123,0.4845360824742268,0.0103092783505154,4.115035263055891e-21,False,2.4240823781768453e-88,0.1958762886597938,-7.547163895199219,0.2886597938144329,-8.505669622962655,0.4536082474226804,-8.830991981793682,"51,5,4,1,3,2,0,1,2,0,6,4,0,3,1,2,2,4,3,3"
log10_dt_bounce_s,97,26.65979381443299,32.25480797427021,0.4948453608247423,0.0103092783505154,5.450754979142813e-22,False,1.987029779002145e-88,0.3092783505154639,-4.064054907177955,0.4020618556701031,-5.582894932443386,0.4432989690721649,-9.054375170766274,"51,2,0,1,0,5,2,2,1,6,4,5,4,1,3,2,3,1,1,3"
D_L,97,24.051546391752577,30.042459929663373,0.4948453608247423,0.0103092783505154,4.991149042459739e-22,False,3.747323873864712e-80,0.3298969072164948,-3.563183132882948,0.3814432989690721,-6.053519384369473,0.4845360824742268,-8.187606877652268,"49,2,3,3,0,5,5,2,1,4,5,4,1,0,4,2,3,3,0,1"
i,97,48.381443298969074,40.65234805102722,0.2577319587628865,0.2164948453608247,5.060736297595356e-06,False,3.597602679682088e-36,0.2577319587628865,-5.455285408563781,0.3608247422680412,-6.54571288974876,0.4742268041237113,-8.397923514303322,"29,2,2,2,2,3,3,3,1,3,2,2,2,3,3,4,4,2,1,24"
