seed,w_samples,w_s,half_width_dex,half_width_frac_of_prior,half_width_s,dlnL_1e-7_step,lnL_at_truth,censored_edges
20260907,0.0,0.0,6.912521785129577e-05,2.0330946426851698e-05,6.416150196184023e-06,-0.0084075927734375,-120691045315.69304,0
20260907,1.0,0.000244140625,3.812922223001003e-05,1.1214477126473538e-05,3.538999139254817e-06,-0.00335693359375,-120691045315.694,0
20260907,3.0,0.000732421875,5.271064292156069e-05,1.5503130271047263e-05,4.892469363006191e-06,-0.0044403076171875,-120691045315.67918,0
20260907,10.0,0.00244140625,4.659287224062503e-05,1.3703785953125008e-05,4.324602807942446e-06,-0.0032501220703125,-120691045315.70908,0
20260907,30.0,0.00732421875,2.829462755471468e-05,8.321949280798435e-06,2.626162374237684e-06,-0.001617431640625,-120691045315.70834,0
20260908,0.0,0.0,0.0014281195239160827,0.0004200351540929655,7.579103659648839e-05,-3.814697265625e-06,-19353285369.336037,0
20260908,1.0,0.000244140625,0.00017671604873625846,5.1975308451840726e-05,9.364905266505408e-06,0.000202178955078125,-19353285369.335423,0
20260908,3.0,0.000732421875,0.0003426946554099253,0.00010079254570880156,1.8164260639760843e-05,0.000263214111328125,-19353285369.33062,0
20260908,10.0,0.00244140625,0.0009505456633633891,0.00027957225393040856,5.041820495794644e-05,3.814697265625e-05,-19353285369.332226,0
20260908,30.0,0.00732421875,0.0024114084953910098,0.0007092377927620618,0.00012811975036723308,-3.814697265625e-06,-19353285369.32787,0
20260932,0.0,0.0,0.0012868022371549936,0.000378471246222057,2.3951622486140245e-05,0.0,-50174593924.700096,0
20260932,1.0,0.000244140625,0.0012502921832493463,0.00036773299507333716,2.327107161824958e-05,-7.62939453125e-06,-50174593924.700035,0
20260932,3.0,0.000732421875,0.0011470937286503502,0.0003373805084265736,2.1347752013792937e-05,0.0,-50174593924.697014,0
20260932,10.0,0.00244140625,0.002655880351085327,0.0007811412797309785,4.951270955496148e-05,0.0,-50174593924.69927,0
20260932,30.0,0.00732421875,0.005879571705008968,0.001729285795590873,0.00011001917002723995,0.0,-50174593924.70918,1
20260933,0.0,0.0,0.005176867693080567,0.0015226081450236961,0.0018537560925331598,0.0,-426006921599.0132,0
20260933,1.0,0.000244140625,0.0051790562371025195,0.0015232518344419175,0.0018545444583211723,0.0,-426006921599.0133,0
20260933,3.0,0.000732421875,0.005160848583909694,0.0015178966423263806,0.001847985748062303,-0.0001220703125,-426006921599.02344,0
20260933,10.0,0.00244140625,0.004459983960259706,0.0013117599883116782,0.0015957311313190559,0.0,-426006921599.03033,0
20260933,30.0,0.00732421875,0.0010148583503905573,0.0002984877501148698,0.0003616658294337549,-6.103515625e-05,-426006921598.9946,0
20260957,0.0,0.0,0.026629781228257654,0.00783228859654637,8.018098708953317e-05,0.0,-95097089498.7641,0
20260957,1.0,0.000244140625,0.03505977360473511,0.01031169811903974,0.00010660505352176001,-1.52587890625e-05,-95097089498.76494,0
20260957,3.0,0.000732421875,0.03313401709892738,0.009745299146743347,0.00010052343044626147,0.0,-95097089498.76523,0
20260957,10.0,0.00244140625,0.030517743239761197,0.008975806835223882,9.230421027834126e-05,1.52587890625e-05,-95097089498.7559,0
20260957,30.0,0.00732421875,0.028404283337295055,0.00835420098155737,8.57006776253306e-05,0.0,-95097089498.77283,0
20260958,0.0,0.0,0.03542278000095411,0.010418464706162974,0.0004168694282464646,3.0517578125e-05,-143861523969.12402,1
20260958,1.0,0.000244140625,1.4112885214650306,0.4150848592544208,0.12155619167623287,-3.0517578125e-05,-143861523969.12347,1
20260958,3.0,0.000732421875,0.7829713762010214,0.23028569888265338,0.024855226046478746,0.0,-143861523969.11816,1
20260958,10.0,0.00244140625,,,,0.0,-143861523969.1218,2
20260958,30.0,0.00732421875,1.0277953064563916,0.3022927371930564,0.04739026320196467,0.0,-143861523969.11658,1
20260982,0.0,0.0,0.016408708153176077,0.0048260906332870815,0.0001539597539113851,0.0,-86672798005.01953,0
20260982,1.0,0.000244140625,0.016390173410764097,0.0048206392384600285,0.00015378254374731615,1.52587890625e-05,-86672798005.01062,0
20260982,3.0,0.000732421875,0.01329751218727293,0.003911032996256745,0.00012431935543023853,1.52587890625e-05,-86672798005.02097,0
20260982,10.0,0.00244140625,0.011229307312168979,0.0033027374447555822,0.00010473271233644652,-1.52587890625e-05,-86672798005.02579,0
20260982,30.0,0.00732421875,0.009146439479081891,0.0026901292585534975,8.510125074478493e-05,1.52587890625e-05,-86672798004.9917,0
20260983,0.0,0.0,0.0020583867066306105,0.000605407854891356,8.306898085677292e-05,0.0,-154231896170.62036,0
20260983,1.0,0.000244140625,0.000355412840144842,0.0001045331882778947,1.431505912781808e-05,0.0001220703125,-154231896170.61526,0
20260983,3.0,0.000732421875,0.0007204850291600007,0.00021190736151764726,2.9031372445528086e-05,0.000152587890625,-154231896170.62375,0
20260983,10.0,0.00244140625,0.0014703601947982925,0.00043245888082302724,5.92981901765717e-05,0.0,-154231896170.61282,0
20260983,30.0,0.00732421875,0.0027920756809181047,0.0008211987296817955,0.00011277329912124864,3.0517578125e-05,-154231896170.60858,0
