seed,w_samples,f_burst_hz,energy_in_band,energy_total,frac_above_1700hz,frac_above_2x_fburst
20260907,0.0,330.1811289613026,6.885075223450818e-37,7.051241120461073e-37,0.023518428079587067,0.17919958930984786
20260907,1.0,330.1811289613026,7.169774990487576e-37,7.180376123021362e-37,0.0001139126353313822,0.052204928617294366
20260907,3.0,330.1811289613026,6.345545512230066e-37,6.3557968107379885e-37,2.028570561373408e-05,0.007339813649903818
20260907,10.0,330.1811289613026,5.886058435843858e-37,5.889517175819178e-37,2.379737427326167e-05,0.0010074160295266926
20260907,30.0,330.1811289613026,8.784608369594744e-37,8.787225275591954e-37,1.633995226276617e-05,0.0005958570793894814
20260908,0.0,42.474116427742345,1.2691114639430729e-36,1.2978368258423374e-36,0.0026996338730059678,0.18145227351625676
20260908,1.0,42.474116427742345,1.251614068600347e-36,1.278623872036319e-36,1.6957606084295982e-05,0.1561756054186892
20260908,3.0,42.474116427742345,1.18061948917717e-36,1.2081069692705444e-36,7.966069647387102e-09,0.11450691268342293
20260908,10.0,42.474116427742345,1.0262788030628643e-36,1.0576789844445165e-36,1.3389211038626821e-08,0.03839020012317368
20260908,30.0,42.474116427742345,9.083875329668393e-37,9.363975004973382e-37,1.6604830555681517e-08,0.0038892804439883823
20260932,0.0,40.14214798557657,6.3487115299860205e-40,6.508084734494606e-40,0.0025623584480383263,0.18167433028615257
20260932,1.0,40.14214798557657,6.329957176462896e-40,6.488274000987886e-40,6.2557890383489095e-06,0.1568915461698019
20260932,3.0,40.14214798557657,5.986786452794605e-40,6.147677317695994e-40,2.983978083385046e-08,0.11704692441359339
20260932,10.0,40.14214798557657,5.2135125341067624e-40,5.3957149155516934e-40,3.6076593813968605e-08,0.041256022136602365
20260932,30.0,40.14214798557657,4.603269161084984e-40,4.7756742457466495e-40,4.143276672332188e-08,0.004418491682005756
20260933,0.0,188.91961882744454,4.6757195232288645e-45,4.739458397013098e-45,0.012582745965609167,0.18248722400037304
20260933,1.0,188.91961882744454,4.555486806294966e-45,4.565829740527707e-45,7.038779861533496e-05,0.0901672776606996
20260933,3.0,188.91961882744454,3.999052366283257e-45,4.0104762767356404e-45,1.5425725731957472e-06,0.023965442142753753
20260933,10.0,188.91961882744454,3.511452801768208e-45,3.517739754778908e-45,2.2534873351019866e-06,0.0015981036770343557
20260933,30.0,188.91961882744454,3.957755524522781e-45,3.960544172070897e-45,2.1326500666669383e-06,0.0007314039864139488
20260957,0.0,338.06468210427283,6.140772995157806e-42,6.292884617711305e-42,0.024032994071777124,0.17783336636355793
20260957,1.0,338.06468210427283,6.097187201472835e-42,6.106373849488216e-42,0.00017970995750850587,0.05086880707049372
20260957,3.0,338.06468210427283,5.397668601950125e-42,5.406016518313045e-42,1.1514712842128528e-05,0.006816464284986835
20260957,10.0,338.06468210427283,5.0317004816654695e-42,5.034461743591801e-42,1.5556337785731902e-05,0.0009175647977375966
20260957,30.0,338.06468210427283,7.605837184004639e-42,7.607943385345377e-42,1.0930404360344503e-05,0.0005379847465139958
20260958,0.0,73.9148867348217,3.9276147805394534e-42,3.966595304114488e-42,0.004764758246206065,0.1827748479023603
20260958,1.0,73.9148867348217,3.9081707904471836e-42,3.935565111572687e-42,1.327519474701358e-05,0.13918666712264438
20260958,3.0,73.9148867348217,3.573440705185027e-42,3.6020718085891696e-42,1.6502736582995233e-07,0.07980587167368619
20260958,10.0,73.9148867348217,3.094578480131233e-42,3.127938403563417e-42,2.08801104385911e-07,0.014296483264515752
20260958,30.0,73.9148867348217,2.7766099452831354e-42,2.7903359821312217e-42,2.400820305736561e-07,0.001263411606923499
20260982,0.0,340.9999068076485,1.5699917373464072e-40,1.6090300359102818e-40,0.02370920432170067,0.1739134219227773
20260982,1.0,340.9999068076485,1.41585258005937e-40,1.418379618531089e-40,0.0004785777472571643,0.0515730298707045
20260982,3.0,340.9999068076485,1.2513695600344187e-40,1.253253646720971e-40,1.787991530917611e-06,0.006601864704506356
20260982,10.0,340.9999068076485,1.1684005853855806e-40,1.1690073747918478e-40,3.389720480845395e-06,0.0008133635193473041
20260982,30.0,340.9999068076485,1.7751710273977246e-40,1.7756311031980857e-40,2.6583611098720353e-06,0.00046814678786870014
20260983,0.0,52.80123326221261,7.68791738692392e-37,7.73737717161558e-37,0.001801396962118643,0.09822438848262496
20260983,1.0,52.80123326221261,7.509446147946837e-37,7.543870771345421e-37,1.7791275114483992e-05,0.08097205491471944
20260983,3.0,52.80123326221261,7.227557576253196e-37,7.262956610441322e-37,2.6644695521287136e-09,0.052915687167099504
20260983,10.0,52.80123326221261,6.655480178424115e-37,6.698269532147112e-37,1.5161839899761783e-09,0.012523593250788386
20260983,30.0,52.80123326221261,6.011690871259003e-37,6.035103822959013e-37,1.4075919271349522e-09,0.0005236662641096767
