model,parameter,in_likelihood_list,max_abs_data_change,max_rel_data_change,abs_dlnL,data_moves,lnL_moves
pbh_tunneling,log10_M_g,True,0.0,0.0,0.0,False,False
pbh_tunneling,log10_f_pbh,True,0.0,0.0,0.0,False,False
pbh_tunneling,log10_k_tunnel,True,0.0,0.0,0.0,False,False
pbh_tunneling,log10_eta_r,True,0.0,0.0,0.0,False,False
pbh_tunneling,log10_eta_gamma,False,0.0,0.0,0.0,False,False
pbh_tunneling,z,True,3.669707245990139e-05,2.1406590342540596e-07,5.988171324133873e-06,True,True
pbh_tunneling,DM_host,True,4.616306553550942e-05,2.6928411370063794e-07,1.2578093446791172e-05,True,True
pbh_tunneling,log10_W_int_ms,True,0.002843695166266258,1.6588194465297226e-05,0.0010818777373060584,True,True
pbh_tunneling,log10_tau_sc_ms,True,0.034198347257643036,0.0001994900365578467,0.012808714527636766,True,True
pbh_tunneling,spectral_index,True,1.9666465735923566e-05,1.147208610622435e-07,1.3284035958349705e-05,True,True
magnetar,log10_fluence_jy_ms,True,72.52459308886408,0.4230604008500927,1033.5453864007723,True,True
magnetar,log10_W_ms,True,0.0,0.0,0.0,False,False
magnetar,DM,True,0.0,0.0,0.0,False,False
magnetar,log10_tau_sc_ms,True,1.4890398674077971,0.008686071529080236,2.619690356659703,True,True
magnetar,spectral_index,True,0.06336466504877203,0.00036962745261347077,0.006173686822876334,True,True
magnetar,log10_rm,False,0.0,0.0,0.0,False,False
magnetar,linear_pol_frac,False,0.0,0.0,0.0,False,False
grb_frb,log10_fluence_jy_ms,True,68.28933261706744,0.3983537672200227,2805.780025661341,True,True
grb_frb,log10_T90_s,False,0.0,0.0,0.0,False,False
grb_frb,z,False,0.0310539178800866,0.00018114754823921053,0.000308511545881629,True,True
grb_frb,spectral_index_radio,False,0.0,0.0,0.0,False,False
grb_frb,DM,True,0.0,0.0,0.0,False,False
