seed,f_burst_hz,q_burst,period_s,dt_true_s,x_true,n_grid,grid_step_s,grid_pts_per_cycle,n_local_maxima,n_within_5nat,n_within_20nat,n_within_50nat,lnL_global,t_global_s,global_minus_truth_s,global_offset_in_periods,dlnL_of_peak_nearest_truth,t_nearest_truth_s,median_spacing_near_s,median_spacing_near_over_period,median_spacing_all_s,median_spacing_all_over_period,runtime_s
20260907,330.1811289613026,2.0,0.0030286406832087625,0.04030767582176941,-1.3946122429504164,24873,0.00010095233320640004,30.000700201912288,10278,1,1,1,-120691045313.02966,0.04030180529653775,-5.870525231661816e-06,-0.0019383366485859108,0.0,0.04030180529653775,,,0.00024414062534816594,0.08061062730277584,377.34705209732056
20260908,42.474116427742345,2.0,0.02354375050276128,0.023010356452950336,-1.6380766536325153,20001,0.00012554432157547892,187.53337631926635,9181,1,1,1,-19353285269.30418,2.494628906222113,2.4716185497691625,104.9798140478631,-100.01582717895508,0.022991770961714442,,,0.00024414061324606884,0.010369656831753943,278.08214950561523
20260932,40.14214798557657,2.0,0.02491147211054348,0.00807167899456812,-2.09303611803723,20001,0.00012554432157547892,198.4277090188135,4448,5,9,9,-50174593649.70775,2.5009765624233644,2.492904883428796,100.07055674456525,-274.5173110961914,0.007812626297891975,0.00024414063902078453,0.009800329660865564,0.00024419313286117017,0.009802436876374655,141.27593779563904
20260933,188.91961882744454,2.0,0.005293256498222031,0.15458908687789213,-0.8108211680890989,20001,0.00012554432157547892,42.16245252510011,3817,3817,3817,3817,-426006921598.85815,2.4912109069331008,2.3366218200552087,441.43370358871977,-0.1605224609375,0.1550359210986418,0.00025326969978506364,0.04784761514393554,0.00025326969978506364,0.04784761514393554,144.02197647094727
20260957,338.06468210427283,2.0,0.0029580138149171097,0.0012679589295247664,-2.8968948134650385,25467,9.859759803304731e-05,30.000870953526288,5090,5090,5090,5090,-95097089494.78177,2.5114746086869317,2.510206649757407,848.6122130662695,-4.0069122314453125,0.0010000226414603056,0.00024416685527228754,0.08254419030802587,0.00024416685527228754,0.08254419030802587,196.41940593719482
20260958,73.9148867348217,2.0,0.013529074374254497,0.0049053494177380245,-2.309330051527531,20001,0.00012554432157547892,107.76333174193496,4033,39,4016,4033,-143861523958.08728,2.4978027336854494,2.492897384267711,184.26222779968117,-10.895782470703125,0.004395684836029929,0.0002441409089364299,0.018045647631372636,0.0002449821014404163,0.018107824280026972,129.26535367965698
20260982,340.9999068076485,2.0,0.002932552121089232,0.003998406487050223,-2.398113056613826,25688,9.774930632263723e-05,30.000746106676957,7466,30,7466,7466,-86672797999.18553,2.5019531238338377,2.4979547173467873,851.8023258249804,-5.5809478759765625,0.003906262257712369,0.0002441417761298581,0.08325232290813539,0.0002441416462464763,0.08325227861791429,277.92469453811646
20260983,52.80123326221261,3.8463983744987513,0.01893895157777789,0.017485039802891355,-1.7573333747269753,20001,0.00012554432157547892,150.8547048572925,7904,2,2,3,-154231890143.948,2.5109863280885723,2.493501288285681,131.65994316239988,-6026.622894287109,0.01751677838022366,0.0002441406451048067,0.012890927150965965,0.00024414066479505614,0.012890928190635418,242.83401465415955
