seed,snr_burst,f_mean_hz,sigma_f_hz,f_burst_hz,q_burst,tau_decay_s,dt_true_s,sigma_t_theory_s,sigma_x_theory_dex,sigma_x_fisher_dex,halfwidth_measured_dex,sigma_t_measured_s,ratio_measured_over_theory,ratio_measured_over_fisher,f_rms_hz,sigma_t_coherent_s,sigma_x_coherent_dex,ratio_measured_over_coherent
20260907,155.97592436961693,371.0491627440784,150.8646627317601,330.1811289613026,2.0,0.0019280925423275,0.0403076758217694,6.763555176927524e-06,7.287382940103372e-05,2.7482853919443773e-05,6.912521785129577e-05,6.41563959101815e-06,0.948560250222218,2.51521250500082,400.54666099500724,2.547472167412575e-06,2.7447702765136317e-05,2.518433635149155
20260908,84.84137712047519,218.93739997004204,160.26440995055634,42.474116427742345,2.0,0.014988417085747,0.0230103564529503,1.1705105528416067e-05,0.0002209206429061,0.0019954320200245,0.001428119523916,7.566649053129229e-05,6.46440054278874,0.7156944008037207,271.3268622942486,6.9138448550892345e-06,0.00013049101066469807,10.94419850563968
20260932,1.8312856794404528,221.13618852665763,160.99220352575745,40.14214798557657,2.0,0.0158591357043555,0.0080716789945681,0.000539832699493,0.0290455508325529,,0.0012868022371549,2.391615601996139e-05,0.0443029035521925,,273.53190576635916,0.0003177284038699393,0.01709528991892546,0.07527232607680649
20260933,0.0145248462471156,244.76016052151692,118.70078195472308,188.9196188274445,2.0,0.0033697917469813,0.1545890868778921,0.0923113299214006,0.2593346141806349,0.0094422157135283,0.0051768676930805,0.0018427294909523,0.0199621161619198,0.5482683143600859,272.0246529548038,0.04028100734962159,0.11316335176533596,0.04574685719645034
20260957,0.4607514064669814,377.8585214008069,152.85220609627245,338.06468210427283,2.0,0.0018831300815126,0.0012679589295247,0.0022598611224147,0.7740354931687421,,0.0266297812282576,7.77478653463117e-05,0.0344038244541484,,407.6038016305802,0.0008474522481155801,0.2902647920710371,0.09174306342238171
20260958,0.2290489817743576,198.43829796663377,144.99896614279788,73.9148867348217,2.0,0.0086128762484819,0.004905349417738,0.0047921109049496,0.4242689246891076,0.0575833287529085,0.0354227800009541,0.0004000997491168,0.083491337544721,0.6151568651571727,245.76911580256535,0.002827251603970985,0.25031035834403786,0.14151543801582286
20260982,2.3246038513656706,378.4641197507431,152.91203565022695,340.9999068076485,2.0,0.0018669206637838,0.0039984064870502,0.0004477437256944,0.0486325314861482,0.0048178975929913,0.016408708153176,0.0001510695803369,0.3374018923495602,3.4057818449786152,408.18767814009414,0.00016773020895072797,0.01821833383666827,0.9006700777515663
20260983,59.037284481416734,196.73351915552345,154.67293211172486,52.80123326221261,3.8463983744987513,0.0231878415173386,0.0174850398028913,1.7429279724730743e-05,0.000432909509691,0.0024717240881335,0.0020583867066306,8.287227905234181e-05,4.7547735971414085,0.8327736564581187,250.25545645870534,1.0772343739343724e-05,0.0002675641288725241,7.693059287522355
