param,n,rank_mean,rank_sd,cov90,cov68,ks_p,ks_null_frac_below,ks_null_median,chi2_p,chi2_null_frac_below,extreme_frac
M,13,54,33.4664,0.769231,0.615385,0.833324,0.8445,0.506844,0.716618,0.816,0.0769231
a_star,13,54.6154,28.4035,1,0.615385,0.90154,0.9175,0.467959,0.860264,0.9335,0
i,13,55.9231,27.8372,0.923077,0.692308,0.829331,0.848,0.504646,0.286402,0.2345,0.0769231
position_angle,13,50,28.1928,0.923077,0.692308,0.936162,0.936,0.511257,0.557559,0.5245,0
log10_mdot_edd,13,38.8462,36.5464,0.615385,0.384615,0.0516208,0.055,0.489372,0.0790137,0.091,0.307692
jet_power_frac,13,34.6923,30.2225,0.769231,0.615385,0.166954,0.1545,0.520136,0.40937,0.4415,0
COMBINED_90,78,nan,nan,0.833333,nan,0.19236,nan,nan,nan,nan,nan
COMBINED_68,78,nan,nan,nan,0.602564,0.126805,nan,nan,nan,nan,nan
