model,fluence_jy_ms_min,fluence_jy_ms_median,fluence_jy_ms_max,peak_jy_median,snr_median,snr_p10,snr_p90,frac_snr_below_1,frac_snr_below_8
pbh_tunneling,1.0,1.0,1.0,0.012335031546472863,0.022060691181687506,0.0006616881138811582,0.1938882705166113,1.0,1.0
magnetar,0.011189299701376937,60.560851223642885,87822.83913959767,3.3173924299474624,3.3675782476117595,0.005542222371574185,1248.524864288239,0.41,0.595
grb_frb,0.00113703740065005,21.013931471504314,86208.75984073042,1.3234317726149527,1.430618680781506,0.0017600786273810364,910.7123838952604,0.465,0.595
