parameter,n,rank_mean,rank_sd,frac_rank_0,frac_rank_L,kstest_p,calibrated,chi2_p,cov_50,dev_50_sigma,cov_68,dev_68_sigma,cov_90,dev_90_sigma,hist20
M,100,45.91,32.998039427526685,0.04,0.03,0.1716440839809188,True,0.004161415997596505,0.43,-1.4139250356818598,0.57,-2.2218821989286384,0.75,-3.4641016151377553,"14,5,6,5,3,3,7,7,5,3,2,5,4,4,2,3,3,6,1,12"
a_star,100,52.58,31.98869118354741,0.01,0.06,0.4101970916715695,True,0.1961523572074954,0.46,-0.8025723539051276,0.59,-1.8298882785650523,0.82,-2.0823168251814157,"8,7,5,2,3,4,3,1,8,8,5,4,6,2,4,3,6,4,6,11"
eps_f,100,43.44,32.26009199232909,0.04,0.01,0.042129756350019844,False,0.004687654850492839,0.44,-1.2087344460380702,0.62,-1.236128465145495,0.79,-2.7006573887712992,"14,8,5,6,2,4,7,4,8,3,2,5,1,7,5,1,1,3,8,6"
eps_Q,100,53.34,32.55274507812225,0.05,0.01,0.04189727190254014,False,0.03125468842734095,0.4,-2.0412414523193148,0.6,-1.6329931618554536,0.82,-2.0823168251814157,"12,3,0,6,3,5,6,4,2,3,6,4,3,3,4,7,4,11,8,6"
log10_A_bounce,100,53.48,30.208862168829757,0.01,0.02,0.174681330529843,True,0.2648034043267983,0.45,-1.0050378152592119,0.65,-0.6289709020331516,0.91,0.3494282789073065,"7,3,6,5,3,9,0,2,5,2,5,4,8,4,5,10,6,4,6,6"
log10_dt_bounce_s,100,52.88,27.201188328171373,0.02,0.03,0.2427041217372417,True,0.3708790603698073,0.55,1.005037815259213,0.79,2.7006573887712992,0.88,-0.6154574548966643,"6,2,2,6,5,2,5,4,7,3,9,6,7,8,5,9,2,3,3,6"
D_L,100,48.23,29.136687623279446,0.03,0.01,0.676328005448052,True,0.394578182086001,0.57,1.4139250356818585,0.68,0.0,0.85,-1.400280084028011,"10,4,1,5,4,5,7,6,8,6,6,3,2,8,3,3,5,6,2,6"
i,100,50.16,29.20208931227388,0.03,0.01,0.9385966116810436,True,0.916927393837835,0.51,0.20004001200400157,0.69,0.21621937503220306,0.87,-0.8920515501750798,"7,6,1,5,4,4,6,7,6,7,5,2,3,6,5,5,7,5,6,3"
